"Entry","RecordType","Data","TimeToLive"
"clients2.google.com",,"clients.l.google.com","6"
"clients2.google.com",,"142.250.198.78","6"
"c.bing.com",,"c-bing-com.ax-0001.ax-msedge.net","44"
"c.bing.com",,"ax-0001.ax-msedge.net","44"
"c.bing.com",,"150.171.28.10","44"
"c.bing.com",,"150.171.27.10","44"
"copilot.microsoft.com",,"copilot-copilot-msft-com.trafficmanager.net","44"
"copilot.microsoft.com",,"copilot.microsoft.com.cdn.cloudflare.net","44"
"copilot.microsoft.com",,"104.18.23.222","44"
"copilot.microsoft.com",,"104.18.22.222","44"
"edge.microsoft.com",,"edge-microsoft-com.ax-0002.ax-msedge.net","22"
"edge.microsoft.com",,"ax-0002.ax-msedge.net","22"
"edge.microsoft.com",,"150.171.28.11","22"
"edge.microsoft.com",,"150.171.27.11","22"
"www.bing.com",,"www-www.bing.com.trafficmanager.net","1"
"www.bing.com",,"www.bing.com.edgekey.net","1"
"www.bing.com",,"e86303.dscx.akamaiedge.net","1"
"www.bing.com",,"203.69.138.114","1"
"www.bing.com",,"203.69.138.104","1"
"www.bing.com",,"203.69.138.46","1"
"www.bing.com",,"203.69.138.96","1"
"www.bing.com",,"203.69.138.91","1"
"www.bing.com",,"203.69.138.97","1"
"www.bing.com",,"203.69.138.105","1"
"www.bing.com",,"203.69.138.3","1"
"www.bing.com",,"203.69.138.99","1"
"px.ads.linkedin.com",,"afd-lnkd.www.linkedin.com","107"
"px.ads.linkedin.com",,"www-linkedin-com.ln-0002.ln-msedge.net","107"
"px.ads.linkedin.com",,"ln-0002.ln-msedge.net","107"
"px.ads.linkedin.com",,"150.171.22.12","107"
"msedge.b.tlu.dl.delivery.mp.microsoft.com",,"star.b.tlu.dl.delivery.mp.microsoft.com.delivery.microsoft.com","10"
"msedge.b.tlu.dl.delivery.mp.microsoft.com",,"cdp-f-tlu-net.trafficmanager.net","10"
"msedge.b.tlu.dl.delivery.mp.microsoft.com",,"wildcard.f.tlu.dl.delivery.mp.microsoft.com.edgesuite.net","10"
"msedge.b.tlu.dl.delivery.mp.microsoft.com",,"a1847.dscd.akamai.net","10"
"msedge.b.tlu.dl.delivery.mp.microsoft.com",,"203.69.81.41","10"
"msedge.b.tlu.dl.delivery.mp.microsoft.com",,"203.69.81.50","10"
"edge-cloud-resource-static.azureedge.net",,"edge-cloud-resource-static.afd.azureedge.net","24"
"edge-cloud-resource-static.azureedge.net",,"mr-afd-azuredge.tm-azurefd.net","24"
"edge-cloud-resource-static.azureedge.net",,"shed.dual-low.part-0018.t-0009.t-msedge.net","24"
"edge-cloud-resource-static.azureedge.net",,"part-0018.t-0009.t-msedge.net","24"
"edge-cloud-resource-static.azureedge.net",,"13.107.246.46","24"
"edge-cloud-resource-static.azureedge.net",,"13.107.213.46","24"
"thaka.bing.com",,"thaka.bing.com.edgekey.net","10"
"thaka.bing.com",,"e86303.dscx.akamaiedge.net","10"
"thaka.bing.com",,"203.69.138.46","10"
"thaka.bing.com",,"203.69.138.56","10"
"thaka.bing.com",,"203.69.138.114","10"
"thaka.bing.com",,"203.69.138.51","10"
"thaka.bing.com",,"203.69.138.97","10"
"thaka.bing.com",,"203.69.138.60","10"
"thaka.bing.com",,"203.69.138.99","10"
"thaka.bing.com",,"203.69.138.136","10"
"thaka.bing.com",,"203.69.138.57","10"
"browser.events.data.msn.com",,"global.asimov.events.data.trafficmanager.net","1"
"browser.events.data.msn.com",,"onedscolprdeus02.eastus.cloudapp.azure.com","1"
"browser.events.data.msn.com",,"20.42.65.84","1"
"sb.scorecardresearch.com",,"3.169.137.63","40"
"sb.scorecardresearch.com",,"3.169.137.32","40"
"sb.scorecardresearch.com",,"3.169.137.94","40"
"sb.scorecardresearch.com",,"3.169.137.16","40"
"windows.msn.cn",,"win-msn-cn-world-atm-default.trafficmanager.net","2"
"windows.msn.cn",,"windows.msn.cn.edgekey.net","2"
"windows.msn.cn",,"windows.msn.cn.edgekey.net.globalredir.akadns88.net","2"
"windows.msn.cn",,"e19240.d.akamaiedge.net","2"
"windows.msn.cn",,"184.29.40.35","2"
"displaycatalog.mp.microsoft.com",,"consumer-prod-bcfd-v7-afd.trafficmanager.net","39"
"displaycatalog.mp.microsoft.com",,"seass2c-displaycatalog.frontdoor.bigcatalog.commerce.microsoft.com","39"
"displaycatalog.mp.microsoft.com",,"57.155.161.95","39"
"activation-v2.sls.microsoft.com",,"activation-v2.sls.trafficmanager.net","200"
"activation-v2.sls.microsoft.com",,"48.192.1.64","200"
"th.bing.com",,"p-th.bing.com.trafficmanager.net","1"
"th.bing.com",,"th.bing.com.edgekey.net","1"
"th.bing.com",,"e86303.dscx.akamaiedge.net","1"
"th.bing.com",,"210.71.227.200","1"
"th.bing.com",,"210.71.227.216","1"
"th.bing.com",,"210.71.227.209","1"
"th.bing.com",,"210.71.227.201","1"
"login.live.com",,"login.msa.msidentity.com","7"
"login.live.com",,"www.tm.lg.prod.aadmsa.trafficmanager.net","7"
"login.live.com",,"prdv4a.aadg.msidentity.com","7"
"login.live.com",,"www.tm.v4.a.prd.aadg.trafficmanager.net","7"
"login.live.com",,"40.126.38.21","7"
"login.live.com",,"40.126.38.19","7"
"login.live.com",,"20.190.166.131","7"
"login.live.com",,"20.190.166.68","7"
"login.live.com",,"40.126.38.20","7"
"login.live.com",,"20.190.166.67","7"
"login.live.com",,"40.126.38.22","7"
"login.live.com",,"20.190.166.132","7"
"c.msn.com",,"c-msn-afd.trafficmanager.net","14"
"c.msn.com",,"idsyncprod-cehbcsbucqdhhgcj.b01.azurefd.net","14"
"c.msn.com",,"mr-b01.tm-azurefd.net","14"
"c.msn.com",,"shed.dual-low.part-0045.t-0009.t-msedge.net","14"
"c.msn.com",,"part-0045.t-0009.t-msedge.net","14"
"c.msn.com",,"13.107.213.73","14"
"c.msn.com",,"13.107.246.73","14"
"img-s-msn-com.akamaized.net",,"a1834.dscg2.akamai.net","3"
"img-s-msn-com.akamaized.net",,"203.69.81.40","3"
"img-s-msn-com.akamaized.net",,"203.69.81.59","3"
"fs.microsoft.com",,"prod.fs.microsoft.com.akadns.net","10"
