Entry,RecordType,Data,TimeToLive
1.1.1.1.in-addr.arpa,12,one.one.one.one,612
202.196.250.142.in-addr.arpa,12,nctsaa-ac-in-f10.1e100.net,71710
206.196.250.142.in-addr.arpa,12,nctsaa-ac-in-f14.1e100.net,78411
2507573.fls.doubleclick.net,,142.250.196.198,72
2507573.fls.doubleclick.net,,dart.l.doubleclick.net,72
42.204.250.142.in-addr.arpa,12,hkg07s38-in-f10.1e100.net,57866
42.204.250.142.in-addr.arpa,12,lctsaa-ac-in-f10.1e100.net,57866
72.198.250.142.in-addr.arpa,12,lctsaa-ab-in-f8.1e100.net,1290
ab.chatgpt.com,1,104.18.32.47,56
ab.chatgpt.com,1,172.64.155.209,56
accounts.google.com,1,74.125.23.84,6
accounts.google.com,1,108.177.125.84,124
accounts.google.com,1,74.125.204.84,125
accounts.google.com,1,173.194.174.84,189
accounts.google.com.tw,5,accounts-cctld.l.google.com,249
accounts.google.com.tw,1,108.177.97.94,249
accounts.youtube.com,5,www3.l.google.com,148
accounts.youtube.com,1,142.250.196.206,148
activation-v2.sls.microsoft.com,,48.192.1.64,82
activation-v2.sls.microsoft.com,,activation-v2.sls.trafficmanager.net,82
addons-pa.clients6.google.com,1,142.250.204.42,148
addons-pa.clients6.google.com,1,142.250.196.202,231
admin.microsoft.com,5,admin-portal.office.com,52
admin.microsoft.com,5,m365adminportal-prod-defaultgeo.trafficmanager.net,52
admin.microsoft.com,5,bx-0004.bx-msedge.net,52
admin.microsoft.com,1,150.171.73.13,52
admin.microsoft.com,1,150.171.74.13,52
adservice.google.com,,142.250.204.34,155
analytics.google.com,5,analytics-alv.google.com,84
analytics.google.com,1,216.239.36.181,84
analytics.google.com,1,216.239.38.181,84
analytics.google.com,1,216.239.32.181,84
analytics.google.com,1,216.239.34.181,84
analytics.google.com,1,142.250.198.78,169
analytics.twitter.com,5,s.twitter.com,297
analytics.twitter.com,1,162.159.140.229,297
api.github.com,,20.27.177.116,21
apis.google.com,5,plus.l.google.com,78
apis.google.com,1,142.250.204.46,95
apis.google.com,1,142.250.198.78,78
appsgrowthpromo-pa.clients6.google.com,1,142.250.196.202,6
appsgrowthpromo-pa.clients6.google.com,1,142.250.204.42,128
assets.msn.cn,5,assets-msn-cn-world-atm-default.trafficmanager.net,40
assets.msn.cn,5,assets.msn.cn.eo.dnse4.com,40
assets.msn.cn,1,175.97.131.54,40
assets.msn.com,,210.71.227.153,9
assets.msn.com,,210.71.227.155,10
assets.msn.com,,210.71.227.160,9
assets.msn.com,5,assets-msn-com-world-atm-default.trafficmanager.net,6
assets.msn.com,,210.71.227.122,9
assets.msn.com,,210.71.227.178,9
assets.msn.com,5,a1666.dscr.akamai.net,6
assets.msn.com,,210.71.227.96,10
assets.msn.com,,210.71.227.120,9
assets.msn.com,5,assets.msn.com-ion.edgesuite.net,6
assets.msn.com,,210.71.227.113,10
assets.msn.com,,210.71.227.99,10
assets.msn.com,,210.71.227.138,9
assets.msn.com,,210.71.227.139,9
assets.msn.com,,210.71.227.98,9
assets.msn.com,,210.71.227.184,9
assets.msn.com,,210.71.227.104,10
assets.msn.com,,210.71.227.176,10
assets.msn.com,,210.71.227.185,10
assets.msn.com,1,203.69.138.230,6
assets.msn.com,1,203.69.138.224,6
assets2.msn.com,5,assets2-msn-com-world-atm-default.trafficmanager.net,10
assets2.msn.com,5,assets2.msn.com-ion.edgesuite.net,10
assets2.msn.com,5,a1686.dscr.akamai.net,10
assets2.msn.com,1,203.69.138.230,10
avatar.iran.liara.run,5,to.liara.zone,28
avatar.iran.liara.run,1,185.208.182.249,28
avatar.iran.liara.run,1,185.208.182.248,28
avatar.iran.liara.run,1,185.208.182.250,28
avatar.vercel.sh,1,66.33.60.194,60
avatar.vercel.sh,1,76.76.21.98,60
avatars.githubusercontent.com,1,185.199.108.133,265
avatars.githubusercontent.com,1,185.199.111.133,848
avatars.githubusercontent.com,1,185.199.110.133,848
avatars.githubusercontent.com,1,185.199.109.133,265
b1t-sindc1.outbrain.com,,23.108.101.162,17
b1t-sindc1.outbrain.com,,b1-sindc1.zemanta.com,218
b1t-sindc1.outbrain.com,,23.108.101.163,218
b1t-sindc1.outbrain.com,,23.108.101.160,218
b1t-sindc1.outbrain.com,,23.108.101.161,17
browser.events.data.msn.com,,40.79.197.34,4
browser.events.data.msn.com,,20.42.65.84,1
browser.events.data.msn.com,5,global.asimov.events.data.trafficmanager.net,2
browser.events.data.msn.com,,onedscolprdeus00.eastus.cloudapp.azure.com,1
browser.events.data.msn.com,,onedscolprdjpe01.japaneast.cloudapp.azure.com,4
browser.events.data.msn.com,,onedscolprdeus02.eastus.cloudapp.azure.com,1
browser.events.data.msn.com,,20.42.72.131,1
browser.events.data.msn.com,5,onedscolprdgwc00.germanywestcentral.cloudapp.azure.com,2
browser.events.data.msn.com,1,51.116.246.104,2
c.bing.com,1,150.171.28.10,2
c.bing.com,5,ax-0001.ax-msedge.net,2
c.bing.com,5,c-bing-com.ax-0001.ax-msedge.net,2
c.bing.com,1,150.171.27.10,2
c.msn.com,5,idsyncprod-cehbcsbucqdhhgcj.b01.azurefd.net,29
c.msn.com,1,13.107.213.73,29
c.msn.com,5,part-0045.t-0009.t-msedge.net,29
c.msn.com,5,shed.dual-low.part-0045.t-0009.t-msedge.net,29
c.msn.com,1,13.107.246.73,29
c.msn.com,5,c-msn-afd.trafficmanager.net,29
c.msn.com,5,mr-b01.tm-azurefd.net,29
cdn.carbonads.com,,3.169.137.39,3
cdn.carbonads.com,,3.169.137.108,3
cdn.carbonads.com,,d2w5yq7htjp2h0.cloudfront.net,3
cdn.carbonads.com,,3.169.137.75,3
cdn.carbonads.com,,3.169.137.8,3
challenges.cloudflare.com,1,104.18.95.41,11
challenges.cloudflare.com,1,104.18.94.41,11
chatgpt.com,1,172.64.155.209,62
chatgpt.com,1,104.18.32.47,62
chatgpt.com,28,2a06:98c1:3100::6812:202f,159
chatgpt.com,28,2a06:98c1:310b::ac40:9bd1,159
chrome.cloudflare-dns.com,1,172.64.41.3,88
chrome.cloudflare-dns.com,1,162.159.61.3,88
ci3.googleusercontent.com,1,142.250.196.193,200
ci3.googleusercontent.com,1,142.250.204.33,54
clients1.google.com,,142.250.66.78,122
clients1.google.com,5,clients.l.google.com,40
clients1.google.com,1,142.250.204.46,40
clients2.google.com,,clients.l.google.com,114
clients2.google.com,,142.250.198.78,82
clients2.google.com,,142.250.204.46,196
clients6.google.com,5,clients.l.google.com,175
clients6.google.com,1,142.250.198.78,235
clients6.google.com,1,142.250.77.14,175
common.online.office.com,5,common-geo.wac.trafficmanager.net,1
common.online.office.com,5,common.wac.trafficmanager.net.wac-0003.wac-dc-msedge.net.wac-0003.wac-msedge.net,1
common.online.office.com,5,wac-0003.wac-msedge.net,1
common.online.office.com,1,52.108.9.12,1
common.online.office.com,1,52.108.8.12,1
config.edge.skype.com,,config-edge-skype.ln-0007.ln-msedge.net,36
config.edge.skype.com,,150.171.22.17,36
config.edge.skype.com,,ln-0007.ln-msedge.net,36
config.edge.skype.com,,ln-0007.config.skype.com,36
config.edge.skype.com,,config.edge.skype.com.trafficmanager.net,36
consumer.suite.office.com,5,cprod.consumershellservice.trafficmanager.net,19
consumer.suite.office.com,1,48.210.106.192,19
contacts.google.com,5,plus.l.google.com,178
contacts.google.com,1,142.250.198.78,45
contacts.google.com,1,142.250.204.46,178
content.googleapis.com,1,142.250.66.74,42
content.googleapis.com,1,142.250.204.42,42
content.googleapis.com,1,142.250.198.74,42
content.googleapis.com,1,142.250.196.202,42
content.googleapis.com,1,142.250.77.10,42
copilot.microsoft.com,1,104.18.23.222,35
copilot.microsoft.com,5,copilot-copilot-msft-com.trafficmanager.net,35
copilot.microsoft.com,1,104.18.22.222,35
copilot.microsoft.com,5,copilot.microsoft.com.cdn.cloudflare.net,35
crl.sectigo.com,,104.18.38.233,224
crl.sectigo.com,,crl.comodoca.com.cdn.cloudflare.net,224
crl.sectigo.com,,172.64.149.23,224
crl.usertrust.com,,104.18.38.233,209
crl.usertrust.com,,crl.comodoca.com.cdn.cloudflare.net,209
crl.usertrust.com,,172.64.149.23,209
cse.google.com,,142.250.66.78,249
cse.google.com,1,142.250.198.78,1
ctldl.windowsupdate.com,5,wu-b-net.trafficmanager.net,36
ctldl.windowsupdate.com,5,bg.microsoft.map.fastly.net,36
ctldl.windowsupdate.com,1,199.232.214.172,36
ctldl.windowsupdate.com,5,ctldl.windowsupdate.com.delivery.microsoft.com,36
ctldl.windowsupdate.com,1,199.232.210.172,36
ctldl.windowsupdate.com,5,download.windowsupdate.com.edgesuite.net,2
ctldl.windowsupdate.com,,203.74.95.218,6
ctldl.windowsupdate.com,,203.74.95.243,6
ctldl.windowsupdate.com,5,a767.dspw65.akamai.net,2
ctldl.windowsupdate.com,1,203.69.138.233,2
data.bilibili.com,5,data.bilicdn2.com,32
data.bilibili.com,1,103.151.151.3,32
data.bilibili.com,1,103.151.151.2,32
data.bilibili.com,1,103.151.151.131,32
data.bilibili.com,1,103.151.151.130,32
default.exp-tas.com,5,deault-exp-tas-com.e-0014.e-msedge.net,113
default.exp-tas.com,5,e-0014.e-dc-msedge.net,68
default.exp-tas.com,1,13.107.13.93,68
default.exp-tas.com,5,e-0014.e-msedge.net,113
default.exp-tas.com,1,13.107.5.93,113
developers.redhat.com,5,developers.redhat.com2.edgekey.net,13
developers.redhat.com,5,developers.redhat.com2.edgekey.net.globalredir.akadns.net,13
developers.redhat.com,5,e259367.dsca.akamaiedge.net,13
developers.redhat.com,1,203.69.138.9,13
developers.redhat.com,1,203.69.138.33,13
discord.com,1,162.159.128.233,17
discord.com,1,162.159.137.232,17
