Entry,RecordType,Data,TimeToLive
accounts.google.com,1,74.125.68.84,73
accounts.google.com,1,74.125.24.84,40
accounts.google.com,1,142.250.157.84,258
accounts.google.com,1,172.253.118.84,102
accounts.google.com,1,173.194.174.84,91
accounts.google.com.tw,5,accounts-cctld.l.google.com,35
accounts.google.com.tw,1,64.233.189.94,35
accounts.youtube.com,5,www3.l.google.com,232
accounts.youtube.com,1,172.217.194.102,93
accounts.youtube.com,1,172.217.194.101,93
accounts.youtube.com,1,172.217.194.100,93
accounts.youtube.com,1,172.217.194.138,93
accounts.youtube.com,1,172.217.194.139,93
accounts.youtube.com,1,172.217.194.113,93
accounts.youtube.com,1,142.250.204.46,152
accounts.youtube.com,1,142.250.4.102,232
accounts.youtube.com,1,142.250.4.139,232
accounts.youtube.com,1,142.250.4.101,232
accounts.youtube.com,1,142.250.4.113,232
accounts.youtube.com,1,142.250.4.138,232
accounts.youtube.com,1,142.250.4.100,232
addons-pa.clients6.google.com,1,142.250.204.42,275
addons-pa.clients6.google.com,1,142.250.196.202,43
addons-pa.clients6.google.com,1,142.251.12.95,14
ajax.googleapis.com,1,74.125.68.95,21
ajax.googleapis.com,1,64.233.170.95,163
alive.github.com,5,live.github.com,56
alive.github.com,1,140.82.112.25,8
alive.github.com,1,140.82.113.26,56
analytics.google.com,1,74.125.130.101,7
analytics.google.com,1,74.125.130.100,7
analytics.google.com,1,74.125.130.102,7
analytics.google.com,1,74.125.130.139,7
analytics.google.com,1,74.125.130.138,7
analytics.google.com,1,74.125.130.113,7
analytics.google.com,1,142.250.196.206,109
analytics.google.com,5,analytics-alv.google.com,68
analytics.google.com,1,216.239.34.181,68
analytics.google.com,1,216.239.38.181,68
analytics.google.com,1,216.239.32.181,68
analytics.google.com,1,216.239.36.181,68
api.github.com,1,20.205.243.168,3
apis.google.com,5,plus.l.google.com,118
apis.google.com,1,142.250.196.206,118
appsgrowthpromo-pa.clients6.google.com,1,64.233.170.95,143
appsgrowthpromo-pa.clients6.google.com,1,142.250.204.42,267
appsgrowthpromo-pa.clients6.google.com,1,142.250.196.202,35
aspen-dev1.eccouncil.org,1,104.18.9.180,105
aspen-dev1.eccouncil.org,1,104.18.8.180,105
aspen.eccouncil.org,1,104.18.9.180,56
aspen.eccouncil.org,1,104.18.8.180,56
avatars.githubusercontent.com,1,185.199.108.133,3102
avatars.githubusercontent.com,1,185.199.110.133,3102
avatars.githubusercontent.com,1,185.199.111.133,3102
avatars.githubusercontent.com,1,185.199.109.133,3102
bam.nr-data.net,5,bam.cell.nr-data.net,240
bam.nr-data.net,5,fastly-tls12-bam.nr-data.net,240
bam.nr-data.net,1,162.247.243.29,240
bc.vitalsource.com,1,104.19.189.84,297
bc.vitalsource.com,1,104.19.190.84,297
bookshelf.vitalsource.com,1,104.19.189.84,57
bookshelf.vitalsource.com,1,104.19.190.84,57
cdn-cookieyes.com,1,104.18.18.62,167
cdn-cookieyes.com,1,104.18.19.62,167
cdn.discordapp.com,1,162.159.135.233,79
cdn.discordapp.com,1,162.159.134.233,79
cdn.discordapp.com,1,162.159.133.233,79
cdn.discordapp.com,1,162.159.130.233,79
cdn.discordapp.com,1,162.159.129.233,79
cdn.jsdelivr.net,5,cdn.jsdelivr.net.cdn.cloudflare.net,182
cdn.jsdelivr.net,1,104.16.174.226,182
cdn.jsdelivr.net,1,104.16.175.226,182
cdn.tailwindcss.com,1,104.26.3.143,149
cdn.tailwindcss.com,1,172.67.68.11,149
cdn.tailwindcss.com,1,104.26.2.143,149
cdnjs.cloudflare.com,1,104.17.24.14,98
cdnjs.cloudflare.com,1,104.17.25.14,98
central.github.com,5,glb-db52c2cf8be544.github.com,8
central.github.com,1,140.82.114.22,8
chameleon.vitalsource.com,1,104.19.189.84,60
chameleon.vitalsource.com,1,104.19.190.84,60
chrome.cloudflare-dns.com,1,172.64.41.3,172
chrome.cloudflare-dns.com,1,162.159.61.3,172
ci3.googleusercontent.com,1,142.250.4.132,101
clients6.google.com,5,clients.l.google.com,36
clients6.google.com,1,172.217.194.102,36
clients6.google.com,1,172.217.194.101,36
clients6.google.com,1,172.217.194.100,36
clients6.google.com,1,172.217.194.113,36
clients6.google.com,1,172.217.194.139,36
clients6.google.com,1,172.217.194.138,36
code.jquery.com,1,151.101.130.137,30
code.jquery.com,1,151.101.66.137,30
code.jquery.com,1,151.101.194.137,30
code.jquery.com,1,151.101.2.137,30
collector.github.com,5,glb-db52c2cf8be544.github.com,46
