Reason,IP
DNS-server,1.1.1.1
DNS-server,8.8.8.8
DNS-server,9.9.9.9
duckduckgo.com,20.43.161.105
www.virustotal.com,34.54.88.138
accounts.google.com,64.233.188.84
accounts.google.com,64.233.189.84
chatgpt.com,104.18.32.47
www.google.com,142.250.66.68
mail.google.com,142.250.77.5
accounts.google.com,142.250.157.84
www.google.com.tw,142.250.198.67
mail.google.com,142.250.198.69
mail-attachment.googleusercontent.com,142.250.204.33
mail.google.com,142.250.204.37
clients4.google.com,142.250.204.46
chatgpt.com,172.64.155.209
accounts.google.com,173.194.174.84
avatars.githubusercontent.com,185.199.108.133
ydnaandy123.github.io,185.199.108.153
github.githubassets.com,185.199.108.154
avatars.githubusercontent.com,185.199.109.133
ydnaandy123.github.io,185.199.109.153
github.githubassets.com,185.199.109.154
avatars.githubusercontent.com,185.199.110.133
ydnaandy123.github.io,185.199.110.153
github.githubassets.com,185.199.110.154
avatars.githubusercontent.com,185.199.111.133
ydnaandy123.github.io,185.199.111.153
github.githubassets.com,185.199.111.154
