Entry,RecordType,Data,TimeToLive
chrome.cloudflare-dns.com,1,172.64.41.3,20
chrome.cloudflare-dns.com,1,162.159.61.3,20
chrome.cloudflare-dns.com,1,172.64.41.3,141
chrome.cloudflare-dns.com,1,162.159.61.3,141
chrome.cloudflare-dns.com,1,172.64.41.3,103
chrome.cloudflare-dns.com,1,162.159.61.3,103
default.exp-tas.com,5,deault-exp-tas-com.e-0014.e-msedge.net,88
default.exp-tas.com,1,13.107.5.93,88
default.exp-tas.com,5,e-0014.e-msedge.net,88
files.pythonhosted.org,1,151.101.64.223,19
files.pythonhosted.org,1,151.101.192.223,19
files.pythonhosted.org,1,151.101.0.223,19
files.pythonhosted.org,5,dualstack.python.map.fastly.net,19
files.pythonhosted.org,1,151.101.128.223,19
main.vscode-cdn.net,5,vscode-cdn.z01.azurefd.net,3
main.vscode-cdn.net,5,part-0045.t-0009.t-msedge.net,16
main.vscode-cdn.net,5,vscode-cdn.z01.azurefd.net,16
main.vscode-cdn.net,1,13.107.246.73,3
main.vscode-cdn.net,5,shed.dual-low.part-0045.t-0009.t-msedge.net,3
main.vscode-cdn.net,1,13.107.213.73,3
main.vscode-cdn.net,5,mr-z01.tm-azurefd.net,3
main.vscode-cdn.net,1,13.107.246.73,16
main.vscode-cdn.net,5,shed.dual-low.part-0045.t-0009.t-msedge.net,16
main.vscode-cdn.net,5,mr-z01.tm-azurefd.net,16
main.vscode-cdn.net,1,13.107.213.73,16
main.vscode-cdn.net,5,part-0045.t-0009.t-msedge.net,3
marketplace.visualstudio.com,1,150.171.73.16,42
marketplace.visualstudio.com,1,150.171.74.16,42
marketplace.visualstudio.com,5,bx-0007.bx-msedge.net,42
marketplace.visualstudio.com,5,market-l0.trafficmanager.net,42
marketplace.visualstudio.com,5,market.bx-0007.bx-msedge.net,42
play.google.com,1,142.250.196.206,32
pypi.org,1,151.101.64.223,30395
pypi.org,1,151.101.64.223,30817
pypi.org,1,151.101.128.223,30367
pypi.org,1,151.101.64.223,30367
pypi.org,1,151.101.192.223,30478
pypi.org,1,151.101.128.223,30478
pypi.org,1,151.101.0.223,30478
pypi.org,1,151.101.0.223,30817
pypi.org,1,151.101.64.223,30478
pypi.org,1,151.101.192.223,30364
pypi.org,1,151.101.128.223,30364
pypi.org,1,151.101.0.223,30364
pypi.org,1,151.101.64.223,30364
pypi.org,1,151.101.192.223,30395
pypi.org,1,151.101.192.223,30817
pypi.org,1,151.101.192.223,30367
pypi.org,1,151.101.0.223,30395
pypi.org,1,151.101.128.223,30817
pypi.org,1,151.101.128.223,30395
pypi.org,1,151.101.0.223,30367
signaler-pa.clients6.google.com,1,142.250.196.202,219
signaler-pa.clients6.google.com,1,142.250.196.202,37
signaler-pa.clients6.google.com,1,142.250.196.202,105
signaler-pa.clients6.google.com,1,142.250.196.202,136
signaler-pa.clients6.google.com,1,142.250.196.202,108
update.code.visualstudio.com,1,13.107.246.73,7
update.code.visualstudio.com,5,part-0045.t-0009.t-msedge.net,7
update.code.visualstudio.com,1,13.107.213.73,7
update.code.visualstudio.com,5,vscode-update-g6gcb6ggdthkctd9.z01.azurefd.net,7
update.code.visualstudio.com,5,shed.dual-low.part-0045.t-0009.t-msedge.net,7
update.code.visualstudio.com,5,mr-z01.tm-azurefd.net,7
waa-pa.clients6.google.com,1,142.250.196.202,132
www.google-analytics.com,1,142.250.198.78,27
www.google.com,1,142.250.77.4,18
www.msftconnecttest.com,1,203.69.81.51,4
www.msftconnecttest.com,5,www.msftncsi.com.edgesuite.net,4
www.msftconnecttest.com,5,ncsi-geo.trafficmanager.net,4
www.msftconnecttest.com,1,203.69.81.58,4
www.msftconnecttest.com,5,a1961.g2.akamai.net,4
2507573.fls.doubleclick.net,,142.250.196.198,72
2507573.fls.doubleclick.net,,dart.l.doubleclick.net,72
ab.chatgpt.com,,172.64.155.209,39
ab.chatgpt.com,,104.18.32.47,39
