"Entry","RecordType","Data","TimeToLive"
"www.google.com",,"142.250.204.36","126"
"static.cloudflareinsights.com",,"104.16.79.73","93"
"static.cloudflareinsights.com",,"104.16.80.73","93"
"www.abuseipdb.com",,"104.26.13.38","126"
"www.abuseipdb.com",,"104.26.12.38","126"
"www.abuseipdb.com",,"172.67.70.74","126"
"msedge.b.tlu.dl.delivery.mp.microsoft.com",,"star.b.tlu.dl.delivery.mp.microsoft.com.delivery.microsoft.com","17"
"msedge.b.tlu.dl.delivery.mp.microsoft.com",,"cdp-f-tlu-net.trafficmanager.net","17"
"msedge.b.tlu.dl.delivery.mp.microsoft.com",,"cl-glcb907925.globalcdn.co","17"
"msedge.b.tlu.dl.delivery.mp.microsoft.com",,"92.223.95.95","17"
"pypi.org",,"151.101.128.223","15952"
"pypi.org",,"151.101.64.223","15952"
"pypi.org",,"151.101.192.223","15952"
"pypi.org",,"151.101.0.223","15952"
