Entry,RecordType,Data,TimeToLive
1.1.1.1.in-addr.arpa,12,one.one.one.one,612
202.196.250.142.in-addr.arpa,12,nctsaa-ac-in-f10.1e100.net,71710
206.196.250.142.in-addr.arpa,12,nctsaa-ac-in-f14.1e100.net,78411
2507573.fls.doubleclick.net,,142.250.196.198,72
2507573.fls.doubleclick.net,,dart.l.doubleclick.net,72
2629051.fs1.hubspotusercontent-na1.net,1,104.18.41.124,94
2629051.fs1.hubspotusercontent-na1.net,1,172.64.146.132,94
42.204.250.142.in-addr.arpa,12,hkg07s38-in-f10.1e100.net,57866
42.204.250.142.in-addr.arpa,12,lctsaa-ac-in-f10.1e100.net,57866
7052064.fs1.hubspotusercontent-na1.net,1,104.18.41.124,93
7052064.fs1.hubspotusercontent-na1.net,1,172.64.146.132,93
72.198.250.142.in-addr.arpa,12,lctsaa-ab-in-f8.1e100.net,1290
a-api.anthropic.com,1,160.79.104.10,210
a-cdn.anthropic.com,1,34.36.57.103,15
a-cdn.claude.ai,5,d8f2pm4haz8u1.cloudfront.net,48
a-cdn.claude.ai,1,3.169.55.20,48
a-cdn.claude.ai,1,3.169.55.57,48
a-cdn.claude.ai,1,3.169.55.11,48
a-cdn.claude.ai,1,3.169.55.101,48
a.claude.ai,1,160.79.104.10,13
aadcdn.msftauth.net,5,www.tm.aadcdn.msftauth.akadns.net,20
aadcdn.msftauth.net,5,aadcdn.msftauth.edgekey.net,20
aadcdn.msftauth.net,5,e329293.dscd.akamaiedge.net,20
aadcdn.msftauth.net,1,203.69.138.35,20
aadcdn.msftauth.net,1,203.69.138.24,20
ab.chatgpt.com,1,104.18.32.47,131
ab.chatgpt.com,1,172.64.155.209,131
accounts.google.com,1,74.125.23.84,137
accounts.google.com,1,108.177.125.84,182
accounts.google.com,1,74.125.204.84,5
accounts.google.com,1,173.194.174.84,179
accounts.google.com,1,64.233.188.84,233
accounts.google.com,1,142.250.157.84,146
accounts.google.com,1,142.251.8.84,208
accounts.google.com,1,74.125.24.84,167
accounts.google.com,1,172.253.118.84,25
accounts.google.com,1,142.250.4.84,137
accounts.google.com,1,74.125.200.84,123
accounts.google.com,1,74.125.68.84,145
accounts.google.com.tw,5,accounts-cctld.l.google.com,32
accounts.google.com.tw,1,108.177.97.94,37
accounts.google.com.tw,1,74.125.203.94,11
accounts.google.com.tw,1,74.125.130.94,32
accounts.youtube.com,5,www3.l.google.com,239
accounts.youtube.com,1,142.250.196.206,42
accounts.youtube.com,1,142.250.204.46,221
accounts.youtube.com,1,142.250.77.14,83
accounts.youtube.com,1,142.250.198.78,239
activation-v2.sls.microsoft.com,1,48.192.1.64,99
activation-v2.sls.microsoft.com,5,activation-v2.sls.trafficmanager.net,99
addons-pa.clients6.google.com,1,142.250.204.42,38
addons-pa.clients6.google.com,1,142.250.196.202,73
addons-pa.clients6.google.com,1,64.233.187.95,13
addons-pa.clients6.google.com,1,64.233.189.95,35
addons-pa.clients6.google.com,1,142.250.198.74,55
addons-pa.clients6.google.com,1,64.233.170.95,26
addons-pa.clients6.google.com,1,142.250.77.10,110
addons-pa.clients6.google.com,1,142.251.10.95,108
admin-services.vitalsource.com,1,104.19.189.84,26
admin-services.vitalsource.com,1,104.19.190.84,26
admin.microsoft.com,5,admin-portal.office.com,22
admin.microsoft.com,5,m365adminportal-prod-defaultgeo.trafficmanager.net,22
admin.microsoft.com,5,bx-0004.bx-msedge.net,22
admin.microsoft.com,1,150.171.73.13,22
admin.microsoft.com,1,150.171.74.13,22
adservice.google.com,,142.250.204.34,155
ajax.googleapis.com,1,142.250.196.202,218
alive.github.com,5,live.github.com,12
alive.github.com,1,140.82.113.25,25
alive.github.com,1,140.82.114.26,22
alive.github.com,1,140.82.112.26,12
amcdn.msftauth.net,5,mecontrol-prod.azurefd.net,20
amcdn.msftauth.net,5,mr-azurefd.tm-azurefd.net,20
amcdn.msftauth.net,5,shed.dual-low.part-0045.t-0009.t-msedge.net,20
amcdn.msftauth.net,5,part-0045.t-0009.t-msedge.net,20
amcdn.msftauth.net,1,13.107.213.73,20
amcdn.msftauth.net,1,13.107.246.73,20
analytics.google.com,5,analytics-alv.google.com,96
analytics.google.com,1,216.239.36.181,96
analytics.google.com,1,216.239.38.181,96
analytics.google.com,1,216.239.32.181,96
analytics.google.com,1,216.239.34.181,96
analytics.google.com,1,142.250.198.78,66
analytics.google.com,1,74.125.203.138,75
analytics.google.com,1,74.125.203.101,75
analytics.google.com,1,74.125.203.139,75
analytics.google.com,1,74.125.203.102,75
analytics.google.com,1,74.125.203.100,75
analytics.google.com,1,74.125.203.113,75
analytics.google.com,1,142.250.77.14,170
analytics.google.com,1,74.125.200.102,190
analytics.google.com,1,74.125.200.139,190
analytics.google.com,1,74.125.200.138,190
analytics.google.com,1,74.125.200.100,190
analytics.google.com,1,74.125.200.101,190
analytics.google.com,1,74.125.200.113,190
analytics.twitter.com,5,s.twitter.com,380
analytics.twitter.com,1,162.159.140.229,380
analytics.twitter.com,1,172.66.0.227,380
api.anthropic.com,1,160.79.104.10,27
api.bilibili.com,5,a.w.bilicdn1.com,47
api.bilibili.com,5,i.w.bilicdn1.com,47
api.bilibili.com,1,103.151.151.4,47
api.bilibili.com,1,103.151.151.5,47
api.bilibili.com,1,103.151.151.6,47
api.bilibili.com,1,103.151.151.133,47
api.bilibili.com,1,103.151.151.134,47
api.certmetrics.com,5,cm2prodweb-gxd4c3eegnfsd4hc.z01.azurefd.net,8
api.certmetrics.com,5,mr-z01.tm-azurefd.net,8
api.certmetrics.com,5,shed.dual-low.part-0045.t-0009.t-msedge.net,8
api.certmetrics.com,5,part-0045.t-0009.t-msedge.net,8
api.certmetrics.com,1,13.107.213.73,8
api.certmetrics.com,1,13.107.246.73,8
api.certmetrics.com,5,shed.dual-low.part-0018.t-0009.t-msedge.net,21
api.certmetrics.com,5,part-0018.t-0009.t-msedge.net,21
api.certmetrics.com,1,13.107.246.46,21
api.certmetrics.com,1,13.107.213.46,21
api.github.com,1,20.27.177.116,2
api.iconify.design,1,104.26.12.204,110
api.iconify.design,1,172.67.71.159,110
api.iconify.design,1,104.26.13.204,110
api.ipify.org,1,104.26.12.205,144
api.ipify.org,1,172.67.74.152,144
api.ipify.org,1,104.26.13.205,144
api.onedrive.com,5,common-afdrk.fe.1drv.com,7
api.onedrive.com,5,odc-commonafdrk-geo.onedrive.akadns.net,7
api.onedrive.com,5,odc-commonafdrk-brs.onedrive.akadns.net,7
api.onedrive.com,5,ln-0001.ln-dc-msedge.net.ln-0001.ln-msedge.net,7
api.onedrive.com,5,ln-0001.ln-msedge.net,7
api.onedrive.com,1,150.171.22.11,7
api.platform.comptia.org,1,172.64.150.55,9
api.platform.comptia.org,1,104.18.37.201,9
api.producthunt.com,1,104.18.127.118,110
api.producthunt.com,1,104.18.126.118,110
api.simplesvg.com,1,104.21.36.46,111
api.simplesvg.com,1,172.67.185.51,111
api.unisvg.com,1,104.21.34.186,110
api.unisvg.com,1,172.67.163.187,110
api.zaius.com,1,100.30.9.29,45
api.zaius.com,1,98.88.118.61,45
api.zaius.com,1,52.4.115.141,45
apis.google.com,5,plus.l.google.com,8
apis.google.com,1,142.250.204.46,95
apis.google.com,1,142.250.198.78,78
apis.google.com,1,142.250.196.206,25
apis.google.com,1,142.251.170.101,17
apis.google.com,1,142.251.170.138,17
apis.google.com,1,142.251.170.102,17
apis.google.com,1,142.251.170.139,17
apis.google.com,1,142.251.170.100,17
apis.google.com,1,142.251.170.113,17
apis.google.com,1,74.125.203.102,130
apis.google.com,1,74.125.203.100,130
apis.google.com,1,74.125.203.113,130
apis.google.com,1,74.125.203.138,130
apis.google.com,1,74.125.203.101,130
apis.google.com,1,74.125.203.139,130
apis.google.com,1,74.125.24.113,8
apis.google.com,1,74.125.24.138,8
apis.google.com,1,74.125.24.100,8
apis.google.com,1,74.125.24.101,8
apis.google.com,1,74.125.24.139,8
apis.google.com,1,74.125.24.102,8
app.hubspot.com,1,104.17.92.187,94
app.hubspot.com,1,104.17.91.187,94
app.launchdarkly.com,5,m.sni.global.fastly.net,46
app.launchdarkly.com,1,151.101.65.55,46
app.launchdarkly.com,1,151.101.193.55,46
app.launchdarkly.com,1,151.101.1.55,46
app.launchdarkly.com,1,151.101.129.55,46
apps-id.cisco.com,5,apps-id.cisco.com.edgekey.net,16
apps-id.cisco.com,5,e68528.dsca.akamaiedge.net,16
apps-id.cisco.com,1,210.71.227.218,16
apps-id.cisco.com,1,210.71.227.203,16
apps.bazaarvoice.com,1,3.169.137.75,11
apps.bazaarvoice.com,1,3.169.137.74,11
apps.bazaarvoice.com,1,3.169.137.129,11
apps.bazaarvoice.com,1,3.169.137.107,11
appsgenaiserver-pa.clients6.google.com,1,74.125.23.95,9
appsgrowthpromo-pa.clients6.google.com,1,142.250.196.202,172
appsgrowthpromo-pa.clients6.google.com,1,142.250.204.42,128
appsgrowthpromo-pa.clients6.google.com,1,142.250.157.95,162
appsgrowthpromo-pa.clients6.google.com,1,142.250.198.74,19
appsgrowthpromo-pa.clients6.google.com,1,74.125.200.95,83
arc.msn.com,5,arc.trafficmanager.net,5
arc.msn.com,5,iris-de-prod-azsc-v2-jpw-b.japanwest.cloudapp.azure.com,5
arc.msn.com,1,40.74.79.222,5
aspen-dev1.eccouncil.org,1,104.18.9.180,152
aspen-dev1.eccouncil.org,1,104.18.8.180,152
aspen.eccouncil.org,1,104.18.8.180,151
aspen.eccouncil.org,1,104.18.9.180,151
assets.customer.io,5,d1aadi0iayibtc.cloudfront.net,50
assets.customer.io,1,13.35.37.89,50
assets.customer.io,1,13.35.37.37,50
assets.customer.io,1,13.35.37.82,50
