Reason,IP
api.zaius.com,100.30.9.29
p3-pc-weboff.byteimg.com,101.226.26.196
p-pc-weboff.byteimg.com,101.226.26.197
p-pc-weboff.byteimg.com,101.226.27.72
p-pc-weboff.byteimg.com,101.226.27.73
p3-pc-weboff.byteimg.com,101.226.27.75
p3-pc-weboff.byteimg.com,101.226.27.76
p3-pc-weboff.byteimg.com,101.89.125.241
p-pc-weboff.byteimg.com,101.89.125.242
data.bilibili.com,103.151.151.130
data.bilibili.com,103.151.151.131
api.bilibili.com,103.151.151.133
api.bilibili.com,103.151.151.134
data.bilibili.com,103.151.151.2
data.bilibili.com,103.151.151.3
api.bilibili.com,103.151.151.4
api.bilibili.com,103.151.151.5
api.bilibili.com,103.151.151.6
lf6-effectcdn-tos.byteeffecttos.com,103.198.200.55
ib.adnxs.com,103.43.89.4
ib.adnxs.com,103.43.90.117
ib.adnxs.com,103.43.90.179
ib.adnxs.com,103.43.90.19
ib.adnxs.com,103.43.90.21
ib.adnxs.com,103.43.90.53
ib.adnxs.com,103.43.90.54
ib.adnxs.com,103.43.91.17
ib.adnxs.com,103.43.91.210
ib.adnxs.com,103.43.91.249
ib.adnxs.com,103.43.91.51
ib.adnxs.com,103.43.91.58
ib.adnxs.com,103.43.91.8
learn.microsoft.com,104.116.17.216
avatar.canva.com,104.16.102.112
avatar.canva.com,104.16.103.112
www.eccexam.com,104.16.105.80
www.eccexam.com,104.16.106.80
ws.zoominfo.com,104.16.117.43
ws.zoominfo.com,104.16.118.43
js.hs-scripts.com,104.16.137.209
js.hs-scripts.com,104.16.138.209
js.hs-scripts.com,104.16.139.209
js.hs-scripts.com,104.16.140.209
js.hs-scripts.com,104.16.141.209
scout-cdn.salesloft.com,104.16.150.240
scout-cdn.salesloft.com,104.16.151.240
js.hs-analytics.net,104.16.160.168
cdn.jsdelivr.net,104.16.174.226
cdn.jsdelivr.net,104.16.175.226
js.hsforms.net,104.16.5.65
js.hsforms.net,104.16.6.65
js.usemessages.com,104.16.75.142
js.usemessages.com,104.16.76.142
js.usemessages.com,104.16.77.142
js.usemessages.com,104.16.78.142
js.usemessages.com,104.16.79.142
static.cloudflareinsights.com,104.16.79.73
static.cloudflareinsights.com,104.16.80.73
js.hsadspixel.net,104.17.128.172
js.hs-analytics.net,104.17.175.201
js.hsadspixel.net,104.17.223.152
cdnjs.cloudflare.com,104.17.24.14
cdnjs.cloudflare.com,104.17.25.14
www.isaca.org,104.17.250.203
www.isaca.org,104.17.251.203
www.isaca.org,104.17.252.203
www.isaca.org,104.17.253.203
www.isaca.org,104.17.254.203
diffuser-cdn.app-us1.com,104.17.31.174
app.hubspot.com,104.17.91.187
app.hubspot.com,104.17.92.187
v2.zopim.com,104.17.95.195
v2.zopim.com,104.17.96.195
v2.zopim.com,104.17.97.195
v2.zopim.com,104.17.98.195
v2.zopim.com,104.17.99.195
unpkg.com,104.18.0.22
unpkg.com,104.18.1.22
maxcdn.bootstrapcdn.com,104.18.10.207
maxcdn.bootstrapcdn.com,104.18.11.207
cdn.fuseplatform.net,104.18.12.225
api.producthunt.com,104.18.126.118
api.producthunt.com,104.18.127.118
diffuser-cdn.app-us1.com,104.18.128.216
cdn.fuseplatform.net,104.18.13.225
cdn-cookieyes.com,104.18.18.62
cdn-cookieyes.com,104.18.19.62
copilot.microsoft.com,104.18.22.222
copilot.microsoft.com,104.18.23.222
tracking.g2crowd.com,104.18.30.176
tracking.g2crowd.com,104.18.31.176
geolocation.onetrust.com,104.18.32.137
ab.chatgpt.com,104.18.32.47
nitroscripts.com,104.18.33.8
link.comptia.org,104.18.35.29
api.platform.comptia.org,104.18.37.201
js.zi-scripts.com,104.18.37.212
cdn.testout.com,104.18.37.78
s.usea01.idio.episerver.net,104.18.38.102
comptiasso-b2c-prod.login.comptia.org,104.18.38.82
ws.chatgpt.com,104.18.39.21
to.getnitropack.com,104.18.39.246
js.hs-banner.com,104.18.40.240
ka-p.fontawesome.com,104.18.40.68
2629051.fs1.hubspotusercontent-na1.net,104.18.41.124
auth.openai.com,104.18.41.241
cdn.optimizely.com,104.18.65.57
cdn.optimizely.com,104.18.66.57
aspen-dev1.eccouncil.org,104.18.8.180
www.104.com.tw,104.18.8.226
forms-na1.hsforms.com,104.18.80.204
cdn.cookielaw.org,104.18.86.42
cdn.cookielaw.org,104.18.87.42
aspen-dev1.eccouncil.org,104.18.9.180
www.104.com.tw,104.18.9.226
challenges.cloudflare.com,104.18.94.41
challenges.cloudflare.com,104.18.95.41
forms-na1.hsforms.com,104.19.175.188
admin-services.vitalsource.com,104.19.189.84
admin-services.vitalsource.com,104.19.190.84
us-assets.i.posthog.com,104.20.17.167
log.cookieyes.com,104.20.23.25
tryhackme.com,104.20.29.66
browser.pipe.aria.microsoft.com,104.208.16.89
api.unisvg.com,104.21.34.186
api.simplesvg.com,104.21.36.46
placehold.co,104.21.47.11
tw.softorbits.net,104.21.73.37
capig.stape.ma,104.21.75.247
freeipapi.com,104.21.94.136
nav-edge.smartscreen.microsoft.com,104.215.41.138
brandfetch.com,104.26.0.96
brandfetch.com,104.26.1.96
code.gist.build,104.26.10.146
www.wireshark.org,104.26.10.240
code.gist.build,104.26.11.146
www.wireshark.org,104.26.11.240
api.iconify.design,104.26.12.204
api.ipify.org,104.26.12.205
www.abuseipdb.com,104.26.12.38
api.iconify.design,104.26.13.204
api.ipify.org,104.26.13.205
www.abuseipdb.com,104.26.13.38
cdn.tailwindcss.com,104.26.2.143
cdn.tailwindcss.com,104.26.3.143
img.favpng.com,104.26.4.186
img.favpng.com,104.26.5.186
js.convertflow.co,104.26.8.41
ipapi.co,104.26.8.44
www.it-training.pro,104.26.8.65
js.convertflow.co,104.26.9.41
ipapi.co,104.26.9.44
www.it-training.pro,104.26.9.65
time.windows.com,104.40.149.189
play.google.com,108.177.125.100
play.google.com,108.177.125.101
play.google.com,108.177.125.102
play.google.com,108.177.125.113
play.google.com,108.177.125.138
play.google.com,108.177.125.139
accounts.google.com,108.177.125.84
recaptcha.net,108.177.125.94
content.googleapis.com,108.177.125.95
accounts.google.com.tw,108.177.97.94
content.googleapis.com,108.177.97.95
p-pc-weboff.byteimg.com,114.80.179.165
p3-pc-weboff.byteimg.com,114.80.179.168
lf3-effectcdn-tos.byteeffecttos.com,116.153.76.58
fs.microsoft.com,118.214.252.115
cacerts.digicert.com,118.214.255.18
frontier100-normal.zijieapi.com,122.14.230.241
www.uuu.com.tw,122.146.41.56
lf3-effectcdn-tos.byteeffecttos.com,123.148.116.51
default.exp-tas.com,13.107.13.93
my.microsoftpersonalcontent.com,13.107.137.11
my.microsoftpersonalcontent.com,13.107.139.11
api.certmetrics.com,13.107.213.46
main.vscode-cdn.net,13.107.213.59
c.msn.com,13.107.213.73
api.certmetrics.com,13.107.246.46
firebrand.training,13.107.246.52
logincdn.msauth.net,13.107.246.59
default.exp-tas.com,13.107.5.93
m365.cloud.microsoft,13.107.6.156
turing-writingassistance.edge.microsoft.com,13.107.6.158
m365.cloud.microsoft,13.107.9.156
us.i.posthog.com,13.219.57.83
cdn.segment.com,13.33.45.217
static.site24x7rum.com,13.35.186.24
static.site24x7rum.com,13.35.186.55
static.site24x7rum.com,13.35.186.81
static.site24x7rum.com,13.35.186.84
msc.adsmart.104.com.tw,13.35.202.114
msc.adsmart.104.com.tw,13.35.202.52
msc.adsmart.104.com.tw,13.35.202.70
msc.adsmart.104.com.tw,13.35.202.78
assets.customer.io,13.35.37.37
assets.customer.io,13.35.37.82
assets.customer.io,13.35.37.88
assets.customer.io,13.35.37.89
eccouncil.learnondemand.net,13.66.39.88
browser.events.data.microsoft.com,13.69.109.130
browser.pipe.aria.microsoft.com,13.69.239.72
mobile.events.data.microsoft.com,13.89.179.14
cdn.perfdrive.com,130.211.29.114
www.signet.de,134.119.0.104
getccn.com,135.148.2.221
tas02.sls.update.microsoft.com,135.232.92.137
tas02.sls.update.microsoft.com,135.233.95.144
msedge.api.cdp.microsoft.com,135.233.95.80
storage.live.com,135.237.238.168
esp.aptrinsic.com,136.111.199.145
dailyverses.net,136.144.227.69
certget.com,138.201.165.86
www.nthu.edu.tw,140.114.69.135
alive.github.com,140.82.112.26
alive.github.com,140.82.113.25
collector.github.com,140.82.114.22
alive.github.com,140.82.114.26
certify.cybervista.net,141.193.213.20
certify.cybervista.net,141.193.213.21
cse.google.com,142.250.157.100
cse.google.com,142.250.157.101
cse.google.com,142.250.157.102
cse.google.com,142.250.157.113
cse.google.com,142.250.157.138
cse.google.com,142.250.157.139
accounts.google.com,142.250.157.84
www.gstatic.com,142.250.157.94
appsgrowthpromo-pa.clients6.google.com,142.250.157.95
ci3.googleusercontent.com,142.250.196.193
pagead2.googlesyndication.com,142.250.196.194
fonts.gstatic.com,142.250.196.195
www.google.com,142.250.196.196
mail-ads.google.com,142.250.196.197
static.doubleclick.net,142.250.196.198
www.googletagmanager.com,142.250.196.200
addons-pa.clients6.google.com,142.250.196.202
accounts.youtube.com,142.250.196.206
i.ytimg.com,142.250.196.214
storage.googleapis.com,142.250.196.219
ep2.adtrafficquality.google,142.250.198.65
ep1.adtrafficquality.google,142.250.198.66
fonts.gstatic.com,142.250.198.67
www.google.com,142.250.198.68
mail.google.com,142.250.198.69
ssl.google-analytics.com,142.250.198.72
addons-pa.clients6.google.com,142.250.198.74
accounts.youtube.com,142.250.198.78
i.ytimg.com,142.250.198.86
storage.googleapis.com,142.250.198.91
ci3.googleusercontent.com,142.250.204.33
pagead2.googlesyndication.com,142.250.204.34
fonts.gstatic.com,142.250.204.35
www.google.com,142.250.204.36
mail.google.com,142.250.204.37
static.doubleclick.net,142.250.204.38
ssl.google-analytics.com,142.250.204.40
addons-pa.clients6.google.com,142.250.204.42
accounts.youtube.com,142.250.204.46
csp.withgoogle.com,142.250.204.49
i.ytimg.com,142.250.204.54
storage.googleapis.com,142.250.204.59
gemini.google.com,142.250.4.100
gemini.google.com,142.250.4.101
gemini.google.com,142.250.4.102
gemini.google.com,142.250.4.113
i.ytimg.com,142.250.4.119
mail-attachment.googleusercontent.com,142.250.4.132
gemini.google.com,142.250.4.138
gemini.google.com,142.250.4.139
mail.google.com,142.250.4.17
mail.google.com,142.250.4.18
mail.google.com,142.250.4.19
mail.google.com,142.250.4.83
accounts.google.com,142.250.4.84
fonts.gstatic.com,142.250.4.94
content.googleapis.com,142.250.4.95
www.googletagmanager.com,142.250.4.97
lh3.googleusercontent.com,142.250.66.65
googleads.g.doubleclick.net,142.250.66.66
fonts.gstatic.com,142.250.66.67
mail.google.com,142.250.66.69
www.googletagmanager.com,142.250.66.72
content.googleapis.com,142.250.66.74
clients6.google.com,142.250.66.78
i.ytimg.com,142.250.66.86
storage.googleapis.com,142.250.66.91
lh3.googleusercontent.com,142.250.77.1
addons-pa.clients6.google.com,142.250.77.10
accounts.youtube.com,142.250.77.14
storage.googleapis.com,142.250.77.27
ssl.gstatic.com,142.250.77.3
www.google.com,142.250.77.4
mail-ads.google.com,142.250.77.5
gemini.google.com,142.251.10.100
gemini.google.com,142.251.10.101
gemini.google.com,142.251.10.102
www.google.com,142.251.10.103
www.google.com,142.251.10.104
www.google.com,142.251.10.105
www.google.com,142.251.10.106
gemini.google.com,142.251.10.113
i.ytimg.com,142.251.10.119
lh3.googleusercontent.com,142.251.10.132
gemini.google.com,142.251.10.138
gemini.google.com,142.251.10.139
www.google.com,142.251.10.147
googleads.g.doubleclick.net,142.251.10.154
googleads.g.doubleclick.net,142.251.10.155
googleads.g.doubleclick.net,142.251.10.156
