Entry,RecordType,Data,TimeToLive
accountcapabilities-pa.googleapis.com,1,142.250.198.74,192
accountcapabilities-pa.googleapis.com,1,142.250.204.42,192
accountcapabilities-pa.googleapis.com,1,142.250.77.10,192
accountcapabilities-pa.googleapis.com,1,142.250.196.202,192
accounts.google.com,1,64.233.188.84,43
accounts.google.com,1,142.251.8.84,33
accounts.google.com.tw,5,accounts-cctld.l.google.com,34
accounts.google.com.tw,1,108.177.97.94,34
accounts.youtube.com,5,www3.l.google.com,185
accounts.youtube.com,1,142.250.196.206,240
accounts.youtube.com,1,142.250.198.78,185
activation-v2.sls.microsoft.com,5,activation-v2.sls.trafficmanager.net,22
activation-v2.sls.microsoft.com,1,48.192.1.64,22
apis.google.com,5,plus.l.google.com,183
apis.google.com,1,142.250.66.78,183
assets.msn.com,5,assets-msn-com-world-atm-default.trafficmanager.net,1
assets.msn.com,5,assets.msn.com-ion.edgesuite.net,1
assets.msn.com,5,a1666.dscr.akamai.net,1
assets.msn.com,1,210.71.227.96,1
assets.msn.com,1,210.71.227.184,1
assets.msn.com,1,210.71.227.176,1
assets.msn.com,1,210.71.227.153,1
assets.msn.com,1,210.71.227.113,1
assets.msn.com,1,210.71.227.139,1
assets2.msn.com,5,assets2-msn-com-world-atm-default.trafficmanager.net,14
assets2.msn.com,5,assets2.msn.com-ion.edgesuite.net,14
assets2.msn.com,5,a1686.dscr.akamai.net,14
assets2.msn.com,1,210.71.227.163,14
assets2.msn.com,1,210.71.227.115,14
auth.trusted-introducer.org,1,193.175.83.138,7884
avatars.githubusercontent.com,1,185.199.108.133,2480
avatars.githubusercontent.com,1,185.199.110.133,2480
avatars.githubusercontent.com,1,185.199.111.133,2480
avatars.githubusercontent.com,1,185.199.109.133,2480
bam.nr-data.net,5,bam.cell.nr-data.net,119
bam.nr-data.net,5,fastly-tls12-bam.nr-data.net,83
bam.nr-data.net,1,162.247.243.29,83
bam.nr-data.net,5,bam.nr-data.net.cdn.cloudflare.net,119
bam.nr-data.net,1,162.247.241.14,119
browser.events.data.msn.com,5,global.asimov.events.data.trafficmanager.net,2
browser.events.data.msn.com,5,onedscolprdeus13.eastus.cloudapp.azure.com,4
browser.events.data.msn.com,1,52.168.117.170,4
browser.events.data.msn.com,5,onedscolprdweu11.westeurope.cloudapp.azure.com,2
browser.events.data.msn.com,1,52.178.17.234,2
c.bing.com,5,c-bing-com.ax-0001.ax-msedge.net,29
c.bing.com,5,ax-0001.ax-msedge.net,29
c.bing.com,1,150.171.28.10,29
c.bing.com,1,150.171.27.10,29
c.msn.com,5,c-msn-afd.trafficmanager.net,28
c.msn.com,5,idsyncprod-cehbcsbucqdhhgcj.b01.azurefd.net,28
c.msn.com,5,mr-b01.tm-azurefd.net,28
c.msn.com,5,shed.dual-low.part-0045.t-0009.t-msedge.net,28
c.msn.com,5,part-0045.t-0009.t-msedge.net,28
c.msn.com,1,13.107.213.73,28
c.msn.com,1,13.107.246.73,28
camo.githubusercontent.com,1,185.199.109.133,3122
camo.githubusercontent.com,1,185.199.110.133,3122
camo.githubusercontent.com,1,185.199.111.133,3122
camo.githubusercontent.com,1,185.199.108.133,3122
chrome.cloudflare-dns.com,1,162.159.61.3,60
chrome.cloudflare-dns.com,1,172.64.41.3,60
chromewebstore.googleapis.com,1,142.250.204.42,2
chromewebstore.googleapis.com,1,142.250.77.10,2
chromewebstore.googleapis.com,1,142.250.196.202,2
chromewebstore.googleapis.com,1,142.250.66.74,2
chromewebstore.googleapis.com,1,142.250.198.74,2
ci3.googleusercontent.com,1,142.250.196.193,36
clients2.googleusercontent.com,5,googlehosted.l.googleusercontent.com,126
clients2.googleusercontent.com,1,142.250.198.65,126
clientservices.googleapis.com,1,142.250.204.35,58
config.edge.skype.com,5,config.edge.skype.com.trafficmanager.net,57
config.edge.skype.com,5,ln-0007.config.skype.com,57
config.edge.skype.com,5,config-edge-skype.ln-0007.ln-msedge.net,57
config.edge.skype.com,5,ln-0007.ln-msedge.net,57
config.edge.skype.com,1,150.171.22.17,57
