Reason,IP
wpad,
google,1.1.1.1
www.eccexam.com,104.16.105.80
www.eccexam.com,104.16.106.80
crl.globalsign.com,104.18.20.226
crl.globalsign.com,104.18.21.226
copilot.microsoft.com,104.18.22.222
copilot.microsoft.com,104.18.23.222
tria.ge,104.18.40.144
jigsaw.vitalsource.com,104.19.189.84
jigsaw.vitalsource.com,104.19.190.84
mobile.events.data.microsoft.com,104.46.162.225
accounts.google.com.tw,108.177.97.94
fs.microsoft.com,118.214.252.115
default.exp-tas.com,13.107.13.93
c.msn.com,13.107.213.73
msedge.api.cdp.microsoft.com,135.233.95.80
ci3.googleusercontent.com,142.250.196.193
googleads.g.doubleclick.net,142.250.196.194
fonts.gstatic.com,142.250.196.195
www.google.com,142.250.196.196
www.googletagmanager.com,142.250.196.200
accountcapabilities-pa.googleapis.com,142.250.196.202
accounts.youtube.com,142.250.196.206
i.ytimg.com,142.250.196.214
clients2.googleusercontent.com,142.250.198.65
googleads.g.doubleclick.net,142.250.198.66
fonts.gstatic.com,142.250.198.67
accountcapabilities-pa.googleapis.com,142.250.198.74
accounts.youtube.com,142.250.198.78
i.ytimg.com,142.250.198.86
www.googleadservices.com,142.250.204.34
clientservices.googleapis.com,142.250.204.35
www.google.com,142.250.204.36
mail.google.com,142.250.204.37
accountcapabilities-pa.googleapis.com,142.250.204.42
cse.google.com,142.250.204.46
i.ytimg.com,142.250.204.54
www.google.com,142.250.66.68
mail.google.com,142.250.66.69
www.googletagmanager.com,142.250.66.72
chromewebstore.googleapis.com,142.250.66.74
apis.google.com,142.250.66.78
accountcapabilities-pa.googleapis.com,142.250.77.10
encrypted-tbn0.gstatic.com,142.250.77.14
i.ytimg.com,142.250.77.22
www.gstatic.com,142.250.77.3
mail.google.com,142.250.77.5
static.doubleclick.net,142.250.77.6
www.google.com,142.251.150.119
www.google.com,142.251.151.119
www.google.com,142.251.152.119
www.google.com,142.251.153.119
www.google.com,142.251.154.119
www.google.com,142.251.155.119
www.google.com,142.251.156.119
www.google.com,142.251.157.119
accounts.google.com,142.251.8.84
uts-front.line-apps.com,147.92.146.114
uts-front.line-apps.com,147.92.191.21
uts-front.line-apps.com,147.92.242.232
config.edge.skype.com,150.171.22.17
c.bing.com,150.171.28.10
chrome.cloudflare-dns.com,162.159.61.3
bam.nr-data.net,162.247.241.14
bam.nr-data.net,162.247.243.29
tria.ge,172.64.147.112
chrome.cloudflare-dns.com,172.64.41.3
avatars.githubusercontent.com,185.199.108.133
github.githubassets.com,185.199.108.154
avatars.githubusercontent.com,185.199.109.133
github.githubassets.com,185.199.109.154
avatars.githubusercontent.com,185.199.110.133
github.githubassets.com,185.199.110.154
avatars.githubusercontent.com,185.199.111.133
github.githubassets.com,185.199.111.154
auth.trusted-introducer.org,193.175.83.138
mwdb.cert.pl,195.187.6.12
mobile.events.data.microsoft.com,20.189.173.4
time.windows.com,20.189.79.72
login.live.com,20.190.141.32
login.live.com,20.190.141.33
login.live.com,20.190.141.34
login.live.com,20.190.141.35
login.live.com,20.190.141.36
login.live.com,20.190.141.37
login.live.com,20.190.141.38
login.live.com,20.190.141.39
login.live.com,20.190.166.131
login.live.com,20.190.166.132
login.live.com,20.190.166.133
login.live.com,20.190.166.66
login.live.com,20.190.166.67
login.live.com,20.190.166.68
nav-edge.smartscreen.microsoft.com,20.194.184.156
github.com,20.27.177.113
thaka.bing.com,203.69.138.136
ctldl.windowsupdate.com,203.69.138.233
thaka.bing.com,203.69.138.99
www.msftconnecttest.com,203.69.81.51
www.msftconnecttest.com,203.69.81.58
assets.msn.com,210.71.227.113
assets2.msn.com,210.71.227.115
assets.msn.com,210.71.227.139
ntp.msn.com,210.71.227.147
assets.msn.com,210.71.227.153
assets2.msn.com,210.71.227.163
assets.msn.com,210.71.227.176
assets.msn.com,210.71.227.184
th.bing.com,210.71.227.201
th.bing.com,210.71.227.203
th.bing.com,210.71.227.208
th.bing.com,210.71.227.211
th.bing.com,210.71.227.216
th.bing.com,210.71.227.217
th.bing.com,210.71.227.218
assets.msn.com,210.71.227.96
optimizationguide-pa.googleapis.com,216.239.32.223
tunnel.googlezip.net,216.239.34.157
dns-tunnel-check.googlezip.net,216.239.34.159
optimizationguide-pa.googleapis.com,216.239.34.223
optimizationguide-pa.googleapis.com,216.239.36.223
optimizationguide-pa.googleapis.com,216.239.38.223
sb.scorecardresearch.com,3.169.137.32
sb.scorecardresearch.com,3.169.137.94
edgedl.me.gvt1.com,34.104.35.123
www.virustotal.com,34.54.88.138
nav-edge.smartscreen.microsoft.com,4.144.165.14
nav-edge.smartscreen.microsoft.com,4.241.22.149
nav-edge.smartscreen.microsoft.com,40.119.213.159
login.live.com,40.126.13.8
login.live.com,40.126.13.9
login.live.com,40.126.38.19
login.live.com,40.126.38.20
login.live.com,40.126.38.21
login.live.com,40.126.38.22
nav-edge.smartscreen.microsoft.com,40.74.81.198
activation-v2.sls.microsoft.com,48.192.1.64
browser.events.data.msn.com,52.178.17.234
accounts.google.com,64.233.188.84
myaccount.google.com,64.233.189.84
mtalk.google.com,74.125.203.188
cloud,8.8.8.8
cloud,9.9.9.9
ctldl.windowsupdate.com,92.223.95.95
