Entry,RecordType,Data,TimeToLive
24h.pchome.com.tw,1,34.149.253.14,166
3000-i2j2oim05su75n5hwynvb-3159a7af.sg1.manus.computer,5,e2b-prod-public-alb-2134702028.ap-southeast-1.elb.amazonaws.com,38
3000-i2j2oim05su75n5hwynvb-3159a7af.sg1.manus.computer,1,52.220.95.41,38
3000-i2j2oim05su75n5hwynvb-3159a7af.sg1.manus.computer,1,54.254.150.60,38
a.line.me,5,a.line.me.akadns.net,4
a.line.me,5,a-cidr.line.me.akadns.net,4
a.line.me,5,a.line.me.edgekey.net,4
a.line.me,5,e6555.a.akamaiedge.net,4
a.line.me,1,184.25.121.39,1
a.line.me,1,23.39.60.244,4
a.nel.cloudflare.com,1,35.190.80.1,24409
aaai.org,1,141.193.213.11,882
aaai.org,1,141.193.213.10,882
aadcdn.msauth.net,5,aadcdnoriginwus2.azureedge.net,7
aadcdn.msauth.net,5,aadcdnoriginwus2.afd.azureedge.net,7
aadcdn.msauth.net,5,firstparty-azurefd-prod.trafficmanager.net,7
aadcdn.msauth.net,5,shed.dual-low.s-part-0045.t-0009.t-msedge.net,7
aadcdn.msauth.net,5,s-part-0045.t-0009.t-msedge.net,7
aadcdn.msauth.net,1,13.107.246.73,7
abs-0.twimg.com,5,abs-zero.twimg.com,204
abs-0.twimg.com,1,104.244.43.131,204
abs.twimg.com,5,twimg.twitter.map.fastly.net,103
abs.twimg.com,1,199.232.112.159,103
account.live.com,5,account.msa.msidentity.com,179
account.live.com,5,www.tm.account.prod.aadmsa.trafficmanager.net,179
account.live.com,5,prdv4a.aadg.msidentity.com,179
account.live.com,5,www.tm.v4.a.prd.aadg.akadns.net,179
account.live.com,1,20.190.166.131,179
account.live.com,1,20.190.166.132,179
account.live.com,1,40.126.38.20,179
account.live.com,1,40.126.38.22,179
account.live.com,1,40.126.38.21,179
account.live.com,1,20.190.166.68,179
account.live.com,1,20.190.166.66,179
account.live.com,1,20.190.166.67,179
accountcapabilities-pa.googleapis.com,1,142.250.196.202,37
accountcapabilities-pa.googleapis.com,1,142.250.198.74,37
accountcapabilities-pa.googleapis.com,1,142.250.204.42,37
accountcapabilities-pa.googleapis.com,1,142.250.77.10,37
accountcapabilities-pa.googleapis.com,1,142.250.66.74,37
accounts.104.com.tw,5,accounts.104.com.tw.cdn.cloudflare.net,147
accounts.104.com.tw,1,104.18.8.226,147
accounts.104.com.tw,1,104.18.9.226,147
accounts.google.com,1,142.251.8.84,17
accounts.google.com,1,142.250.157.84,17
accounts.google.com,1,64.233.188.84,19
accounts.google.com,1,108.177.125.84,86
accounts.google.com,1,64.233.189.84,100
accounts.google.com.tw,5,accounts-cctld.l.google.com,117
accounts.google.com.tw,1,74.125.204.94,183
accounts.google.com.tw,1,108.177.97.94,117
accounts.youtube.com,5,www3.l.google.com,22
accounts.youtube.com,1,142.250.204.46,90
accounts.youtube.com,1,142.250.198.78,22
acctcdn.msauth.net,5,acctcdnmsftuswe2.azureedge.net,37
acctcdn.msauth.net,5,acctcdnmsftuswe2.afd.azureedge.net,37
acctcdn.msauth.net,5,firstparty-azurefd-prod.trafficmanager.net,37
acctcdn.msauth.net,5,shed.dual-low.s-part-0045.t-0009.t-msedge.net,37
acctcdn.msauth.net,5,s-part-0045.t-0009.t-msedge.net,37
acctcdn.msauth.net,1,13.107.246.73,37
acctcdn.msftauth.net,5,www.tm.acctcdn.msftauth.akadns.net,15
acctcdn.msftauth.net,5,acctcdn.msftauth.edgekey.net,15
acctcdn.msftauth.net,5,e329293.dscd.akamaiedge.net,15
acctcdn.msftauth.net,1,23.46.63.200,15
acctcdn.msftauth.net,1,23.46.63.171,15
acctcdnmsftuswe2.azureedge.net,5,acctcdnmsftuswe2.afd.azureedge.net,23
acctcdnmsftuswe2.azureedge.net,5,firstparty-azurefd-prod.trafficmanager.net,23
acctcdnmsftuswe2.azureedge.net,5,shed.dual-low.s-part-0045.t-0009.t-msedge.net,23
acctcdnmsftuswe2.azureedge.net,5,s-part-0045.t-0009.t-msedge.net,23
acctcdnmsftuswe2.azureedge.net,1,13.107.246.73,23
activation-v2.sls.microsoft.com,5,activation-v2.sls.trafficmanager.net,223
activation-v2.sls.microsoft.com,1,48.192.1.64,223
adage.lib.nthu.edu.tw,1,140.114.72.13,41048
addons-pa.clients6.google.com,1,142.250.196.202,47
addons-pa.clients6.google.com,1,142.250.204.42,71
admin.microsoft.com,5,admin-portal.office.com,50
admin.microsoft.com,5,m365adminportal-prod-defaultgeo.trafficmanager.net,50
admin.microsoft.com,5,bx-0004.bx-msedge.net,50
admin.microsoft.com,1,150.171.73.13,50
admin.microsoft.com,1,150.171.74.13,50
aidma.adsmart.104.com.tw,1,13.192.201.0,1
aidma.adsmart.104.com.tw,1,18.181.26.20,1
ajax.googleapis.com,1,142.250.198.74,286
ajax.googleapis.com,1,142.250.204.42,53
alive.github.com,5,live.github.com,12
alive.github.com,1,140.82.113.26,12
amaiq.lib.nthu.edu.tw,1,140.114.72.117,41048
