Reason,IP
wpad,
google,1.1.1.1
api2.amplitude.com,100.22.109.31
api2.amplitude.com,100.23.234.94
api.manus.im,100.25.35.57
asia.creativecdn.com,103.132.192.30
ib.adnxs.com,103.43.89.4
ib.adnxs.com,103.43.90.117
ib.adnxs.com,103.43.90.179
ib.adnxs.com,103.43.90.19
ib.adnxs.com,103.43.90.21
ib.adnxs.com,103.43.90.54
ib.adnxs.com,103.43.91.17
ib.adnxs.com,103.43.91.210
ib.adnxs.com,103.43.91.249
ib.adnxs.com,103.43.91.51
ib.adnxs.com,103.43.91.58
ib.adnxs.com,103.43.91.8
d.line-scdn.net,104.116.17.150
learn.microsoft.com,104.116.17.216
hashes.com,104.143.2.195
content-management-public-content.canva.com,104.16.102.112
content-management-public-content.canva.com,104.16.103.112
static.cloudflareinsights.com,104.16.79.73
static.cloudflareinsights.com,104.16.80.73
cdnjs.cloudflare.com,104.17.24.14
cdnjs.cloudflare.com,104.17.25.14
cdn.localizeapi.com,104.18.0.42
cdn.localizeapi.com,104.18.1.42
stackpath.bootstrapcdn.com,104.18.10.207
stackpath.bootstrapcdn.com,104.18.11.207
cdn.prod.website-files.com,104.18.160.117
cdn.prod.website-files.com,104.18.161.117
csp-reporting.cloudflare.com,104.18.20.157
crl.globalsign.com,104.18.20.226
csp-reporting.cloudflare.com,104.18.21.157
crl.globalsign.com,104.18.21.226
geolocation.onetrust.com,104.18.32.137
crl.sectigo.com,104.18.38.233
api.signin.104.com.tw,104.18.4.84
api.signin.104.com.tw,104.18.5.84
accounts.104.com.tw,104.18.8.226
cdn.cookielaw.org,104.18.86.42
cdn.cookielaw.org,104.18.87.42
accounts.104.com.tw,104.18.9.226
challenges.cloudflare.com,104.18.94.41
challenges.cloudflare.com,104.18.95.41
hcaptcha.com,104.19.229.21
hcaptcha.com,104.19.230.21
attio.com,104.20.30.68
apikeys.civiccomputing.com,104.20.44.120
use.fontawesome.com,104.21.27.152
www.ghtinc.com,104.21.40.2
abs-0.twimg.com,104.244.43.131
api.ipify.org,104.26.12.205
www.abuseipdb.com,104.26.12.38
api.ipify.org,104.26.13.205
www.abuseipdb.com,104.26.13.38
www.filescan.io,104.26.14.230
www.filescan.io,104.26.15.230
cdn.tailwindcss.com,104.26.2.143
cdn.tailwindcss.com,104.26.3.143
tw.search.yahoo.com,106.10.218.137
stats.g.doubleclick.net,108.177.125.154
stats.g.doubleclick.net,108.177.125.156
mtalk.google.com,108.177.125.188
accounts.google.com,108.177.125.84
accounts.google.com.tw,108.177.97.94
fs.microsoft.com,118.214.252.115
r1---sn-jipx4uxaxjvh-u2xs.googlevideo.com,119.31.191.172
login.104.com.tw,122.147.53.142
static.104.com.tw,122.147.53.29
coccoc.com,123.30.175.29
default.exp-tas.com,13.107.13.93
my.microsoftpersonalcontent.com,13.107.137.11
my.microsoftpersonalcontent.com,13.107.139.11
appsforoffice.microsoft.com,13.107.213.73
default.exp-tas.com,13.107.5.93
m365.cloud.microsoft,13.107.9.156
merchant-ui-api.stripe.com,13.115.27.220
aidma.adsmart.104.com.tw,13.192.201.0
api.manus.im,13.216.84.105
api.stripe.com,13.230.90.110
metrics.manus.im,13.248.176.92
static-s3.skyworkcdn.com,13.35.186.102
cdn.104.com.tw,13.35.186.11
cdn.104.com.tw,13.35.186.121
static-s3.skyworkcdn.com,13.35.186.28
static-s3.skyworkcdn.com,13.35.186.32
cdn.104.com.tw,13.35.186.35
cdn.104.com.tw,13.35.186.8
www.credly.com,13.58.14.79
eu-mobile.events.data.microsoft.com,13.69.239.77
dmp.tenmax.io,13.76.34.51
apih.pcloud.tw,130.211.17.193
tas02.sls.update.microsoft.com,135.233.95.144
www.nthu.edu.tw,140.114.69.135
amaiq.lib.nthu.edu.tw,140.114.72.117
adage.lib.nthu.edu.tw,140.114.72.13
libsms.lib.nthu.edu.tw,140.114.72.19
www.lib.nthu.edu.tw,140.114.72.45
collector.github.com,140.82.112.22
collector.github.com,140.82.113.22
alive.github.com,140.82.113.26
aaai.org,141.193.213.10
aaai.org,141.193.213.11
sync-t1.taboola.com,141.226.231.48
accounts.google.com,142.250.157.84
drive.usercontent.google.com,142.250.196.193
googleads.g.doubleclick.net,142.250.196.194
clientservices.googleapis.com,142.250.196.195
www.google.com,142.250.196.196
mail.google.com,142.250.196.197
accountcapabilities-pa.googleapis.com,142.250.196.202
android.clients.google.com,142.250.196.206
i.ytimg.com,142.250.196.214
lh3.googleusercontent.com,142.250.198.65
cm.g.doubleclick.net,142.250.198.66
clientservices.googleapis.com,142.250.198.67
www.google.com,142.250.198.68
mail-ads.google.com,142.250.198.69
static.doubleclick.net,142.250.198.70
www.googletagmanager.com,142.250.198.72
accountcapabilities-pa.googleapis.com,142.250.198.74
accounts.youtube.com,142.250.198.78
i.ytimg.com,142.250.198.86
ci3.googleusercontent.com,142.250.204.33
googleads.g.doubleclick.net,142.250.204.34
fonts.gstatic.com,142.250.204.35
www.googletagmanager.com,142.250.204.40
accountcapabilities-pa.googleapis.com,142.250.204.42
accounts.youtube.com,142.250.204.46
eventapi.pchome.com.tw,142.250.204.51
i.ytimg.com,142.250.204.54
yt3.ggpht.com,142.250.66.65
googleads.g.doubleclick.net,142.250.66.66
clientservices.googleapis.com,142.250.66.67
scholar.google.com,142.250.66.68
www.googletagmanager.com,142.250.66.72
accountcapabilities-pa.googleapis.com,142.250.66.74
android.clients.google.com,142.250.66.78
web-market-349104.de.r.appspot.com,142.250.66.84
i.ytimg.com,142.250.66.86
yt3.ggpht.com,142.250.77.1
accountcapabilities-pa.googleapis.com,142.250.77.10
android.clients.google.com,142.250.77.14
googleads.g.doubleclick.net,142.250.77.2
i.ytimg.com,142.250.77.22
www.gstatic.com,142.250.77.3
www.google.com,142.250.77.4
mail.google.com,142.250.77.5
static.doubleclick.net,142.250.77.6
www.googletagmanager.com,142.250.77.8
stats.g.doubleclick.net,142.251.170.156
stats.g.doubleclick.net,142.251.170.157
mtalk.google.com,142.251.170.188
mtalk.google.com,142.251.8.188
accounts.google.com,142.251.8.84
rr1---sn-un57sn7y.googlevideo.com,142.251.85.198
static.ads-twitter.com,146.75.112.157
uts-front.line-apps.com,147.92.146.114
cix.line-apps.com,147.92.146.129
cix.line-apps.com,147.92.146.138
cix.line-apps.com,147.92.185.1
cix.line-apps.com,147.92.185.2
uts-front.line-apps.com,147.92.191.21
tr.line.me,147.92.191.92
uts-front.line-apps.com,147.92.242.232
cix.line-apps.com,147.92.249.185
insight.adsrvr.org,15.197.193.217
api.onedrive.com,150.171.22.11
config.edge.skype.com,150.171.22.17
