Entry,RecordType,Data
ab.chatgpt.com,1,172.64.155.209
ab.chatgpt.com,1,104.18.32.47
accounts.google.com,1,142.251.8.84
chatgpt.com,1,172.64.155.209
chatgpt.com,1,104.18.32.47
gemini.google.com,1,142.250.196.206
google.com,1,142.250.196.206
lh3.google.com,5,lh2.l.google.com
lh3.google.com,1,142.250.77.14
lh3.googleusercontent.com,5,googlehosted.l.googleusercontent.com
lh3.googleusercontent.com,1,142.250.196.193
ogads-pa.clients6.google.com,1,142.250.196.202
optimizationguide-pa.googleapis.com,1,216.239.34.223
optimizationguide-pa.googleapis.com,1,216.239.38.223
optimizationguide-pa.googleapis.com,1,216.239.32.223
optimizationguide-pa.googleapis.com,1,216.239.36.223
play.google.com,1,142.250.198.78
www.google-analytics.com,1,142.250.198.78
www.google.com,1,142.251.150.119
www.google.com,1,142.251.154.119
www.google.com,1,142.251.155.119
www.google.com,1,142.251.156.119
www.google.com,1,142.251.157.119
www.google.com,1,142.251.153.119
www.google.com,1,142.251.151.119
www.google.com,1,142.251.152.119
www.googletagmanager.com,1,142.250.204.40
