Entry,RecordType,Data,SourceFolders
1.1.1.1.in-addr.arpa,12,one.one.one.one,rotation-1
202.196.250.142.in-addr.arpa,12,nctsaa-ac-in-f10.1e100.net,rotation-1
206.196.250.142.in-addr.arpa,12,nctsaa-ac-in-f14.1e100.net,rotation-1
24h.pchome.com.tw,1,34.149.253.14,rotation-2026-02-25
2507573.fls.doubleclick.net,,142.250.196.198,rotation-0; rotation-1
2507573.fls.doubleclick.net,,dart.l.doubleclick.net,rotation-0; rotation-1
3000-i2j2oim05su75n5hwynvb-3159a7af.sg1.manus.computer,1,52.220.95.41,rotation-2026-02-25
3000-i2j2oim05su75n5hwynvb-3159a7af.sg1.manus.computer,1,54.254.150.60,rotation-2026-02-25
3000-i2j2oim05su75n5hwynvb-3159a7af.sg1.manus.computer,5,e2b-prod-public-alb-2134702028.ap-southeast-1.elb.amazonaws.com,rotation-2026-02-25
42.204.250.142.in-addr.arpa,12,hkg07s38-in-f10.1e100.net,rotation-1
42.204.250.142.in-addr.arpa,12,lctsaa-ac-in-f10.1e100.net,rotation-1
72.198.250.142.in-addr.arpa,12,lctsaa-ab-in-f8.1e100.net,rotation-1
a.line.me,1,184.25.121.39,rotation-2026-02-25
a.line.me,1,23.39.60.244,rotation-2026-02-25
a.line.me,5,a-cidr.line.me.akadns.net,rotation-2026-02-25
a.line.me,5,a.line.me.akadns.net,rotation-2026-02-25
a.line.me,5,a.line.me.edgekey.net,rotation-2026-02-25
a.line.me,5,e6555.a.akamaiedge.net,rotation-2026-02-25
a.nel.cloudflare.com,1,35.190.80.1,rotation-2026-02-25; rotation-2026-03-08-claude
aaai.org,1,141.193.213.10,rotation-2026-02-25
aaai.org,1,141.193.213.11,rotation-2026-02-25
aadcdn.msauth.net,1,13.107.246.73,rotation-2026-02-25
aadcdn.msauth.net,5,aadcdnoriginwus2.afd.azureedge.net,rotation-2026-02-25
aadcdn.msauth.net,5,aadcdnoriginwus2.azureedge.net,rotation-2026-02-25
aadcdn.msauth.net,5,firstparty-azurefd-prod.trafficmanager.net,rotation-2026-02-25
aadcdn.msauth.net,5,s-part-0045.t-0009.t-msedge.net,rotation-2026-02-25
aadcdn.msauth.net,5,shed.dual-low.s-part-0045.t-0009.t-msedge.net,rotation-2026-02-25
ab.chatgpt.com,,104.18.32.47,rotation-0
ab.chatgpt.com,,172.64.155.209,rotation-0
ab.chatgpt.com,1,104.18.32.47,rotation-1
ab.chatgpt.com,1,172.64.155.209,rotation-1
abs-0.twimg.com,1,104.244.43.131,rotation-2026-02-25
abs-0.twimg.com,5,abs-zero.twimg.com,rotation-2026-02-25
abs.twimg.com,1,199.232.112.159,rotation-2026-02-25
abs.twimg.com,5,twimg.twitter.map.fastly.net,rotation-2026-02-25
account.live.com,1,20.190.166.131,rotation-2026-02-25
account.live.com,1,20.190.166.132,rotation-2026-02-25
account.live.com,1,20.190.166.66,rotation-2026-02-25
account.live.com,1,20.190.166.67,rotation-2026-02-25
account.live.com,1,20.190.166.68,rotation-2026-02-25
account.live.com,1,40.126.38.20,rotation-2026-02-25
account.live.com,1,40.126.38.21,rotation-2026-02-25
account.live.com,1,40.126.38.22,rotation-2026-02-25
account.live.com,5,account.msa.msidentity.com,rotation-2026-02-25
account.live.com,5,prdv4a.aadg.msidentity.com,rotation-2026-02-25
account.live.com,5,www.tm.account.prod.aadmsa.trafficmanager.net,rotation-2026-02-25
account.live.com,5,www.tm.v4.a.prd.aadg.akadns.net,rotation-2026-02-25
accountcapabilities-pa.googleapis.com,1,142.250.196.202,rotation-2026-02-22-chrome; rotation-2026-02-25
accountcapabilities-pa.googleapis.com,1,142.250.198.74,rotation-2026-02-22-chrome; rotation-2026-02-25
accountcapabilities-pa.googleapis.com,1,142.250.204.42,rotation-2026-02-22-chrome; rotation-2026-02-25
accountcapabilities-pa.googleapis.com,1,142.250.66.74,rotation-2026-02-25
accountcapabilities-pa.googleapis.com,1,142.250.77.10,rotation-2026-02-22-chrome; rotation-2026-02-25
accounts.104.com.tw,1,104.18.8.226,rotation-2026-02-25
accounts.104.com.tw,1,104.18.9.226,rotation-2026-02-25
accounts.104.com.tw,5,accounts.104.com.tw.cdn.cloudflare.net,rotation-2026-02-25
accounts.google.com,1,108.177.125.84,rotation-1; rotation-2026-02-25
accounts.google.com,1,142.250.157.84,rotation-2026-02-13; rotation-2026-02-25
accounts.google.com,1,142.251.8.84,rotation-2026-02-22-chrome; rotation-2026-02-25
accounts.google.com,1,172.253.118.84,rotation-2026-02-13
accounts.google.com,1,173.194.174.84,rotation-1; rotation-2026-02-13
accounts.google.com,1,64.233.188.84,rotation-2026-02-22-chrome; rotation-2026-02-25
accounts.google.com,1,64.233.189.84,rotation-2026-02-25; rotation-2026-03-08-claude
accounts.google.com,1,74.125.204.84,rotation-1
accounts.google.com,1,74.125.23.84,rotation-1
accounts.google.com,1,74.125.24.84,rotation-2026-02-13
accounts.google.com,1,74.125.68.84,rotation-2026-02-13
accounts.google.com.tw,1,108.177.97.94,rotation-1; rotation-2026-02-22-chrome; rotation-2026-02-25
accounts.google.com.tw,1,64.233.189.94,rotation-2026-02-13
accounts.google.com.tw,1,74.125.204.94,rotation-2026-02-25
accounts.google.com.tw,5,accounts-cctld.l.google.com,rotation-1; rotation-2026-02-13; rotation-2026-02-22-chrome; rotation-2026-02-25
accounts.youtube.com,1,142.250.196.206,rotation-1; rotation-2026-02-22-chrome
accounts.youtube.com,1,142.250.198.78,rotation-2026-02-22-chrome; rotation-2026-02-25
